id,story,conversions,url
6068421,Biontech-Chef: Impfstoffe werden bei Omikron schützen,10.140,https://www.diepresse.com/6068421
6068607,Mediengerücht: Wechselt Julian Reichelt zu Servus TV?,9.955,https://www.diepresse.com/6068607
6068233,Die Grünen gehen aufs Ganze,9.936,https://www.diepresse.com/6068233
6068199,Oberösterreichs FPÖ fordert Eilverfahren vor dem VfGH,9.905,https://www.diepresse.com/6068199
6067865,Gelöschte Fotos auf Hartwig Lögers Handy,9.875,https://www.diepresse.com/6067865
6067895,Geht es um die Pandemie oder ums Prinzip?,9.864,https://www.diepresse.com/6067895
6067676,„Licht ins Dunkel&quot;-Gala: ÖVP-Gemeinderat zeigt Regierung an,9.584,https://www.diepresse.com/6067676
6068522,Expats-Umfrage: Wien ist die unfreundlichste Stadt,9.416,https://www.diepresse.com/6068522
6068958,Südafrika meldet &quot;beunruhigenden&quot; Anstieg der Omikron-Fälle,9.405,https://www.diepresse.com/6068958
6069106,Von &quot;Brückenbauer&quot; bis &quot;fallen gelassen&quot;: Reaktionen auf den Rücktritt von Kurz,9.388,https://www.diepresse.com/6069106
6070389,Corona-Demo: Nehammer kritisiert demokratiefeindliches Verhalten,9.372,https://www.diepresse.com/6070389
6067802,Neue Variante Omikron: Beginnen die Impfungen jetzt von vorn?,9.171,https://www.diepresse.com/6067802
6069421,Bundeskanzler Schallenberg stellt sein Amt zur Verfügung,9.145,https://www.diepresse.com/6069421
6069037,Gesundheitsminister Mückstein ruft zur Grippe-Impfung auf,9.098,https://www.diepresse.com/6069037
6064259,"Faßmann: &quot;Möchte nicht, dass ein Minister sagt, was für ein Kind das Beste ist&quot;",9.084,https://www.diepresse.com/6064259
6069196,EMA startet beschleunigte Prüfung von Zulassung von Valneva-Impfstoff,9.043,https://www.diepresse.com/6069196
6067928,Mozartkugel-Produzent meldet Insolvenz an,9.039,https://www.diepresse.com/6067928
6069408,"Karl Nehammer, der Rorschachtest für Österreichs Politik",8.881,https://www.diepresse.com/6069408
6067965,Moderna-Chef: Impfstoffe wahrscheinlich weniger wirksam gegen Omikron,8.820,https://www.diepresse.com/6067965
6065198,"Katharina die Große, Kaiserin des Impfens",8.779,https://www.diepresse.com/6065198
6067969,Erste Schritte zur Impfpflicht: Türkis-Grün lädt zu Gipfeltreffen,8.770,https://www.diepresse.com/6067969
6067683,"Wie gefährlich ist Omikron, Dorothee von Laer?",8.600,https://www.diepresse.com/6067683
6070323,Weg von hier: Flucht vor dem Lockdown,8.359,https://www.diepresse.com/6070323
